"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TIGD41",1.84887957075218e-10,0.314285745052417,0.059,0.034,4.85182976956787e-06,"Retinal progenitors","TIGD4"
"PPP1R12C1",1.85386286424411e-10,0.17869930715524,0.175,0.128,4.86490692834941e-06,"Retinal progenitors","PPP1R12C"
"PHRF1",1.8577884348203e-10,0.1787265739082,0.154,0.111,4.87520841065542e-06,"Retinal progenitors","PHRF1"
"TMEM2421",1.88554540331421e-10,0.170021394887471,0.168,0.123,4.94804824737715e-06,"Retinal progenitors","TMEM242"
"MTCH21",1.90136543581766e-10,0.135372843362998,0.21,0.159,4.9895631766727e-06,"Retinal progenitors","MTCH2"
"SNHG221",1.9706754563957e-10,0.237681049656987,0.159,0.114,5.1714465326736e-06,"Retinal progenitors","SNHG22"
"AC002398.1",1.99414133988907e-10,1.29565396591125,0.017,0.006,5.2330257041369e-06,"Retinal progenitors","AC002398.1"
"NDRG12",2.00752232486196e-10,0.11050597861301,0.172,0.125,5.26814008490276e-06,"Retinal progenitors","NDRG1"
"AL132780.22",2.03010684229179e-10,0.397782462508796,0.044,0.023,5.32740637554212e-06,"Retinal progenitors","AL132780.2"
"SLC15A21",2.03625415505907e-10,0.552924632176496,0.045,0.024,5.34353815370601e-06,"Retinal progenitors","SLC15A2"
"PRKD2",2.07189157706472e-10,0.448240991586539,0.086,0.055,5.43705787653323e-06,"Retinal progenitors","PRKD2"
"NFIX1",2.09552539437975e-10,0.340855703539569,0.06,0.035,5.49907773993134e-06,"Retinal progenitors","NFIX"
"CDK91",2.12825351182432e-10,0.291980845771829,0.1,0.065,5.58496286572939e-06,"Retinal progenitors","CDK9"
"ZBTB8OS1",2.16282260213785e-10,0.112960507925045,0.345,0.279,5.67567907253014e-06,"Retinal progenitors","ZBTB8OS"
"PITHD11",2.26785289718564e-10,0.148028117330183,0.091,0.059,5.95129957279455e-06,"Retinal progenitors","PITHD1"
"GFM2",2.29724299957116e-10,0.138399642560602,0.188,0.14,6.02842507947463e-06,"Retinal progenitors","GFM2"
"PHLDB32",2.31140244638173e-10,0.658301793437154,0.039,0.02,6.06558229979493e-06,"Retinal progenitors","PHLDB3"
"AL354733.3",2.38382817667381e-10,0.405136454128202,0.123,0.085,6.25564190122741e-06,"Retinal progenitors","AL354733.3"
"NLGN2",2.39464627847179e-10,0.198940429437961,0.147,0.105,6.28403076396566e-06,"Retinal progenitors","NLGN2"
"UTP181",2.43121803790097e-10,0.248204340246429,0.14,0.099,6.38000237505974e-06,"Retinal progenitors","UTP18"
"AC068831.71",2.43754751675991e-10,0.690895190598331,0.027,0.012,6.39661219348137e-06,"Retinal progenitors","AC068831.7"
"GCDH2",2.47799418012411e-10,0.104683736763734,0.13,0.09,6.50275232748168e-06,"Retinal progenitors","GCDH"
"HIST1H2BN",2.48097448342911e-10,0.66944025106381,0.028,0.013,6.51057323941467e-06,"Retinal progenitors","HIST1H2BN"
"SLC25A532",2.5032848761927e-10,0.133775579602865,0.176,0.129,6.56912017210489e-06,"Retinal progenitors","SLC25A53"
"HERC51",2.51889316928633e-10,0.953526266987819,0.016,0.005,6.61007945484118e-06,"Retinal progenitors","HERC5"
